City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
66,kodiak,57.79,-152.4072,4.730000000000018,36,0,9.26,US,1680390821
67,kidal,18.4411,1.4078,25.970000000000027,8,8,6.29,ML,1680390882
68,ahipara,-35.1667,173.1667,20.05000000000001,79,100,1.01,NZ,1680390850
69,te anau,-45.4167,167.7167,10.29000000000002,92,91,0.78,NZ,1680390882
70,gat,31.61,34.7642,13.0,100,0,1.26,IL,1680390883
71,zhigansk,66.7697,123.3711,-21.71999999999997,98,96,7.59,RU,1680390883
72,sept-iles,50.2001,-66.3821,-1.6399999999999864,95,100,7.72,CA,1680390624
73,hambantota,6.1241,81.1185,25.150000000000034,85,41,1.25,LK,1680390850
74,georgetown,5.4112,100.3354,27.960000000000036,78,20,2.06,MY,1680390619
75,lebu,-37.6167,-73.65,14.32000000000005,94,99,4.14,CL,1680390841
76,busselton,-33.65,115.3333,14.050000000000011,91,2,3.49,AU,1680390824
77,acari,-15.4311,-74.6158,24.629999999999995,87,85,2.61,PE,1680390884
78,bethel,41.3712,-73.414,19.05000000000001,60,0,4.12,US,1680390814
79,longyearbyen,78.2186,15.6401,-12.089999999999975,72,75,3.6,SJ,1680390806
80,dikson,73.5069,80.5464,-16.41999999999996,100,100,1.41,RU,1680390828
81,chuy,-33.6971,-53.4616,15.730000000000018,73,13,2.87,UY,1680390814
82,constitucion,-35.3333,-72.4167,16.430000000000007,76,67,6.35,CL,1680390832
83,pailon,-17.65,-62.75,26.82000000000005,78,11,1.3,BO,1680390885
84,broome,42.2506,-75.833,12.060000000000002,69,75,4.47,US,1680390880
85,koumac,-20.5667,164.2833,27.939999999999998,67,6,1.83,NC,1680390885
86,san quintin,30.4833,-115.95,15.450000000000045,72,0,8.58,MX,1680390838
87,vestmannaeyjar,63.4427,-20.2734,5.75,60,100,9.51,IS,1680390831
88,rockland,41.1668,-74.0496,19.140000000000043,71,27,5.38,US,1680390886
89,norman wells,65.282,-126.8329,-7.899999999999977,79,100,1.55,CA,1680390853
90,havre-saint-pierre,50.2334,-63.5986,-0.7999999999999545,93,100,6.17,CA,1680390886
91,caravelas,-17.7125,-39.2481,26.04000000000002,77,1,4.03,BR,1680390637
92,pisco,-13.7,-76.2167,25.03000000000003,78,0,9.26,PE,1680390851
93,shahr-e babak,30.1165,55.1186,10.580000000000041,36,0,1.63,IR,1680390887
94,xam nua,20.4197,104.0439,17.850000000000023,73,4,1.46,LA,1680390887
95,luang prabang,19.8856,102.1347,21.710000000000036,50,0,0.47,LA,1680390887
96,bilma,18.6853,12.9164,23.610000000000014,6,85,3.3,NE,1680390887
97,coruripe,-10.1256,-36.1756,25.5,79,100,3.31,BR,1680390888
98,yellowknife,62.456,-114.3525,-11.70999999999998,79,100,6.17,CA,1680390535
99,flinders,-34.5833,150.8552,16.700000000000045,90,97,3.14,AU,1680390858
100,kruisfontein,-34.0033,24.7314,14.700000000000045,76,0,1.92,ZA,1680390823
